e1,e2t,e2p,tareas,proyectos,investigacion,talleres,total
74.4,81,83.3,7.26,49.66,5,7.4,96
41,52.4,76.7,2.33,34.03,5,5.88,64.97
34,57.2,75,5.45,44.38,5,7.24,79.64
16.7,0,0,2.8,5.43,0,0.95,11.69
9,0,0,4.97,2.25,0,1.23,10.8
77.6,69,100,7.15,49.66,5,7.5,96.1
28.9,52.4,86.7,3.27,37.88,5,7.13,70.44
61.5,59.5,83.3,7.26,49.15,5,7.5,91.5
19.2,52.4,76.7,1.61,34,5,1.82,54.59
73.7,40.5,100,7.5,49.44,5,7.5,91.8
41,54.8,86.7,3.27,35.06,5,6.79,69.24
32,81,100,4.82,38.88,4.7,7.35,76.9
23.1,66.7,93.3,5.27,40.84,4.7,7.5,76.11
37.2,57.1,90,5.87,42.37,5,6.75,79.03
41.7,59.5,90,4.76,41.25,5,6.26,77.23
9.6,0,0,2.8,0,0,0.68,5.92
30.8,64.3,93.3,3.87,41.47,5,5.85,75.11
0,0,0,0,0,0,0,0
86.5,73.8,100,7.5,50,5,7.5,97.61
26.9,76.2,100,5.16,43.91,4.7,6.41,80.09
53.3,58.3,13.1,6.6,48.41,5,5.7,80.2
12.6,0,0,0,0,0,0.6,2.5
49.6,68.3,100,3.75,39.3,5,6,80.8
0,0,0,0,0,0,0,0
61.6,58.3,0,6.25,49.27,5,6.55,82.1
55.1,48.3,72.1,4.41,36.24,5,7.06,69.4
38.5,78.3,76.4,5.55,36.72,4.7,6.44,76.6
57,0,72.1,3.75,42.87,4.7,7.2,70.7
52.4,55,13.1,6.25,47.02,5,7,79.3
40.3,58.3,76.4,5.55,37.4,4.7,4.2,67.6
48.7,55,0,6.25,46.07,5,7.43,77.6
60.7,61.7,72.1,5.55,39.43,5,6.33,75.2
32.9,85,80.7,5.15,37.7,4.7,7.38,72.4
57,58.3,95.7,5.15,43.14,5,6.16,78.6
52.4,5,0,3.75,12.51,0,1.23,25.9
38.5,91.7,87.1,4.52,33.99,5,5.06,67.9
29.2,8.3,4.3,3.59,34.64,5,1.55,50.2
53.3,68.3,100,5.55,33.47,5,4.35,68.2
66.3,68.3,76.4,5,42.66,5,6.89,80.2
69.1,65,95.7,5.7,43.44,5,7.1,82.9
59.8,58.3,80.7,6.95,39.09,4.7,6.72,76.3
7,0,0,0,0,0,0.9,2
44,61.7,72.1,0.7,32.63,4.7,3.61,58
29.2,45,76.4,5.55,38.03,4.7,7.35,68.3
34.8,78.3,80.7,5.15,39.21,4.7,6.93,73.1
42.2,71.7,76.4,4.85,37.09,5,5.37,69.6
39.9,71.1,60,6.56,44.08,5,5.66,77.12
43.8,65.8,86.7,5,22.76,5,7.36,58.13
37.3,65.8,0,0.35,23.44,5,4.43,43.75
68.6,44.7,100,4.5,44.09,5,6.9,83.63
28.8,65.8,100,5,40.01,5,5.9,74.67
34.7,55.3,100,6.6,44.38,5,6.33,81.16
33.3,47.4,100,3.75,42.59,5,3.96,73.35
24.2,73.7,100,6.25,47.62,5,3.5,81.03
22.2,57.9,100,5.31,38.64,5,6.98,73.1
0,0,0,0.35,0,0,0.9,1.25
69.3,60.5,100,3.51,40.91,5,6.72,78.57
22.3,57.9,100,4.65,44.38,5,6.97,78.19
56.2,94.7,100,7.5,47.58,5,7.5,92.61
22.9,52.6,100,4.3,42.91,5,5.32,72.41
74.5,78.9,100,7.26,49.31,5,5.83,93.99
43.8,60.5,100,4.3,42.59,5,6.6,79.1
43.8,65.8,86.7,2.09,18.38,5,3.65,47.13
0,0,0,0.9,2.59,0,0.6,4.09
29.4,57.9,60,5.9,44.38,5,5.63,76.16
34,60.5,100,7.15,44.94,5,5.72,81.95
32.7,68.4,100,4.41,38.66,5,5.75,73.36
47.1,73.7,100,7.5,43.58,5,3.15,79.32
27.5,52.6,100,3.51,43.16,5,5.95,73.19
0,0,0,0,0,0,0.9,0.9
35.3,34.2,100,3.75,45.97,5,0,70.08
66.7,73.7,100,7.5,48.93,5,6.56,91.02
52.3,71.1,100,0,45.18,5,2.55,73.41
86.5,94.4,98.3,7.5,47.63,5,7.41,94.97
53.3,70.4,98.3,7.38,47.41,5,7.41,87.85
55.5,70.4,100,7.5,42.37,4.95,7.5,84.43
27.3,31.5,88.3,4.75,36.03,5,7.35,67.94
5,0,0,6.75,1.58,0,1.78,10.86
56.1,46.3,81.7,3.47,29.48,5,9.91,66.38
34.8,60,96.7,4.25,29.02,5,3.72,59.96
41.6,52,50,6.69,42.06,4.95,6.6,74.19
5,0,0,0,0,0,0,0.75
36.4,53.7,81.7,0.84,30.09,5,9.81,61.86
27.3,0,0,0,33.41,0,0,38.39
24.6,24.1,86.7,3.9,15.28,0,7.06,39.24
58.2,63,100,6.63,47.83,5,6.2,87.62
78.2,54,90,5.72,47.83,5,6.03,87.61
5,0,0,2.1,6.41,0,1.18,10.44
72,68.5,98.3,6.38,47.63,5,6.38,88.7
32.1,0,0,0.5,13.13,0,3.06,22.01
48.6,24.1,0,6.63,15.91,0,4.63,36.27
17.8,18.5,88.3,3.57,31.3,5,4.81,59.59
47.5,63,86.7,5.75,12.65,0,7.32,44.57
42.2,0,0,3.75,6.3,0,7.41,23.79
56.7,78,100,7.5,42.37,4.95,7.5,85.18
72,88.9,33.3,6.75,48.41,5,7.16,88.17
78,74,100,7.5,44.39,5,5.02,88.04
56.9,17,0,6.25,39.55,5,6.42,68.76
48.8,81.5,100,7.5,47.52,5,6.21,87.66
59.3,59.3,100,7.5,39.98,4.95,9.91,84.18
66.3,50,90,7.5,47.83,5,6.69,87.47
54.4,46.3,98.3,7.38,47.63,5,7.22,86.24
72,70.4,33.3,7.5,48.41,5,6.94,87.31
31.6,11.1,100,0,46.59,5,3.83,69.37